Actual / Forecast


"August 15, 2023."

Date,Day Ahead Forecast Pool Price,Real Time Forecast Pool Price,Actual Posted Pool Price, Forecast AIL,Actual AIL,Forecast AIL & Actual AIL Difference,Day Ahead/Real Time Forecast Spread,

,,,,,,,Offer,Bid


"08/15/2023 01","190.96","190.96","142.91","9,475","9,415","60","-","-"
"08/15/2023 02","88.67","88.67","68.99","9,268","9,301","-33","-","-"
"08/15/2023 03","61.54","61.54","53.17","9,196","9,129","67","-","-"
"08/15/2023 04","42.89","42.89","49.28","9,034","9,069","-35","-","-"
"08/15/2023 05","56.07","56.07","59.62","9,078","9,089","-11","-","-"
"08/15/2023 06","64.15","64.15","155.44","9,173","9,221","-48","-","-"
"08/15/2023 07","248.30","248.30","273.66","9,396","9,357","39","-","-"
"08/15/2023 08","153.86","153.86","71.54","9,611","9,662","-51","-","-"
"08/15/2023 09","543.72","543.72","320.14","9,986","9,998","-12","-","-"
"08/15/2023 10","317.64","317.64","111.68","10,235","10,246","-11","-","-"
"08/15/2023 11","196.96","196.96","101.28","10,442","10,506","-64","-","-"
"08/15/2023 12","93.37","93.37","117.42","10,700","10,703","-3","-","-"
"08/15/2023 13","97.21","97.21","269.41","10,781","10,877","-96","-","-"
"08/15/2023 14","529.10","529.10","523.54","10,972","11,003","-31","-","-"
"08/15/2023 15","651.15","651.15","576.94","11,056","11,102","-46","-","-"
"08/15/2023 16","385.13","385.13","339.04","11,184","11,252","-68","-","-"
"08/15/2023 17","345.93","345.93","377.97","11,295","11,314","-19","-","-"
"08/15/2023 18","545.31","545.31","511.29","11,259","11,214","45","-","-"
"08/15/2023 19","92.10","92.10","666.09","11,009","10,904","105","-","-"
"08/15/2023 20","704.08","704.08","737.28","10,704","10,701","3","-","-"
"08/15/2023 21","512.60","512.60","653.30","10,538","10,557","-19","-","-"
"08/15/2023 22","511.56","511.56","513.61","10,453","10,479","-26","-","-"
"08/15/2023 23","455.37","455.37","292.19","10,192","10,191","1","-","-"
"08/15/2023 24","51.38","51.38","44.11","9,835","9,927","-92","-","-"
"08/16/2023 01","52.40","52.40","44.09","9,714","9,690","24","-","-"
"08/16/2023 02","53.98","53.98","38.44","9,508","9,450","58","-","-"
"08/16/2023 03","32.03","32.03","45.98","9,316","9,272","44","-","-"
